,stNo,stNam,Lon,Lat,county,address,altitude
0,466850,五分山雷達站,121.781205,25.071182,新北市,瑞芳區靜安路四段1巷1號,756.0
1,466880,板橋,121.442017,24.997647,新北市,板橋區大觀路二段265巷62號,9.7
2,466900,淡水,121.448906,25.164889,新北市,淡水區中正東路42巷6號,19.0
3,466910,鞍部,121.529731,25.182586,臺北市,北投區陽明山竹子湖路111號,837.6
4,466920,臺北,121.514853,25.037658,臺北市,中正區公園路64號,5.3
5,466930,竹子湖,121.544547,25.162078,臺北市,北投區陽明山竹子湖路2號,607.1
6,466940,基隆,121.740475,25.133314,基隆市,仁愛區港西街6號6樓(海港大樓6樓),26.7
7,466950,彭佳嶼,122.079744,25.627975,基隆市,中正區彭佳嶼,101.7
8,466990,花蓮,121.613275,23.975128,花蓮縣,花蓮市花崗街24號,16.1
9,467050,新屋,121.047486,25.006744,桃園市,新屋區東興路二段946號,20.6
10,467060,蘇澳,121.857372,24.596736,宜蘭縣,蘇澳鎮港區路1號6樓(蘇澳港行政大樓6樓),24.9
11,467080,宜蘭,121.756528,24.763975,宜蘭縣,宜蘭市力行路150號,7.2
12,467110,金門,118.289281,24.407306,金門縣,金城鎮金水里西海路一段250號,47.9
13,467270,田中,120.581348,23.873776,彰化縣,田中鎮中潭里4鄰高鐵三路1段167號,48.6
14,467300,東吉島,119.667467,23.25695,澎湖縣,望安鄉東吉村156號,43.0
15,467350,澎湖,119.563094,23.565503,澎湖縣,馬公市新興路2號,10.7
16,467410,臺南,120.204772,22.993239,臺南市,中西區公園路21號,40.8
17,467420,永康,120.2367,23.038386,臺南市,永康區鹽行里正南五街520巷88號,8.1
18,467440,高雄,120.315733,22.565992,高雄市,前鎮區明孝里26鄰漁港南二路2號,2.3
19,467480,嘉義,120.432906,23.495925,嘉義市,西區北新里海口寮路56號,26.9
20,467490,臺中,120.684075,24.145736,臺中市,北區精武路295號,84.0
21,467530,阿里山,120.813242,23.508208,嘉義縣,阿里山鄉中正村4鄰東阿里山73-1號,2413.4
22,467540,大武,120.903789,22.355675,臺東縣,大武鄉大武街115號,8.1
23,467550,玉山,120.959522,23.487614,南投縣,信義鄉玉山北峰1號,3844.8
24,467571,新竹,121.014219,24.827853,新竹縣,竹北市北崙里3鄰光明五街60號,26.9
25,467590,恆春,120.746339,22.003897,屏東縣,恆春鎮天文路50號,22.3
26,467610,成功,121.373428,23.097486,臺東縣,成功鎮公民路84號,33.5
27,467620,蘭嶼,121.558339,22.036969,臺東縣,蘭嶼鄉紅頭村2號,324.0
